id,region,prefecture,ward,town,chome,banchi_text,created_at,updated_at
1,간토,도쿄도,오타구,이케가미,1,전역,2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
2,간토,도쿄도,오타구,이케가미,2,전역,2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
3,간토,도쿄도,오타구,이케가미,4,전역,2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
4,간토,도쿄도,오타구,이케가미,3,"1-22, 25, 26",2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
5,간토,도쿄도,오타구,이케가미,5,"1-22, 25, 26",2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
6,간토,도쿄도,오타구,이케가미,6,"1-24, 25, 26, 29",2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
7,간토,도쿄도,오타구,이케가미,7,"1-24, 25, 26, 29",2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
8,간토,도쿄도,오타구,이케가미,8,1-19,2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
9,간토,도쿄도,오타구,이케가미,5,"23, 24, 27, 28",2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
10,간토,도쿄도,오타구,이케가미,7,"24, 27, 28, 30, 31",2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
11,간토,도쿄도,오타구,이케가미,8,20-27,2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
12,간토,도쿄도,오타구,이시카와초,1,전역,2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
13,간토,도쿄도,오타구,이시카와초,2,전역,2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
14,간토,도쿄도,오타구,우노키,1,전역,2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
15,간토,도쿄도,오타구,우노키,2,전역,2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
16,간토,도쿄도,오타구,우노키,3,전역,2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
17,간토,도쿄도,오타구,오오모리키타,1,전역,2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
18,간토,도쿄도,오타구,오오모리키타,4,전역,2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
19,간토,도쿄도,오타구,오오모리키타,5,"1-8, 12, 13, 15, 16",2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
20,간토,도쿄도,오타구,오오모리키타,5,"9, 10, 11, 14",2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
21,간토,도쿄도,오타구,오오모리키타,2,전역,2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
22,간토,도쿄도,오타구,오오모리키타,3,전역,2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
23,간토,도쿄도,오타구,오오모리키타,6,전역,2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
24,간토,도쿄도,오타구,오오모리나카,1,전역,2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
25,간토,도쿄도,오타구,오오모리나카,2,전역,2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
26,간토,도쿄도,오타구,오오모리나카,3,전역,2026-01-28 01:43:38.781402,2026-01-28 01:43:38.781402
