id,area_id,waste_type,rule_type,weekdays,nth_weeks,note,created_at,updated_at
1,1,BURNABLE,WEEKDAY,"MON,THU",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
2,1,NON_BURNABLE,NTH_WEEKDAY,FRI,"2,4",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
3,1,PLASTIC,WEEKDAY,WED,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
4,1,CAN_BOTTLE,WEEKDAY,SAT,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
5,1,PAPER,WEEKDAY,SAT,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
6,2,BURNABLE,WEEKDAY,"MON,THU",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
7,2,NON_BURNABLE,NTH_WEEKDAY,FRI,"2,4",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
8,2,PLASTIC,WEEKDAY,WED,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
9,2,CAN_BOTTLE,WEEKDAY,SAT,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
10,2,PAPER,WEEKDAY,SAT,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
11,3,BURNABLE,WEEKDAY,"MON,THU",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
12,3,NON_BURNABLE,NTH_WEEKDAY,FRI,"2,4",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
13,3,PLASTIC,WEEKDAY,WED,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
14,3,CAN_BOTTLE,WEEKDAY,SAT,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
15,3,PAPER,WEEKDAY,SAT,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
16,4,BURNABLE,WEEKDAY,"MON,THU",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
17,4,NON_BURNABLE,NTH_WEEKDAY,TUE,"1,3",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
18,4,PLASTIC,WEEKDAY,SAT,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
19,4,CAN_BOTTLE,WEEKDAY,WED,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
20,4,PAPER,WEEKDAY,WED,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
21,5,BURNABLE,WEEKDAY,"MON,THU",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
22,5,NON_BURNABLE,NTH_WEEKDAY,TUE,"1,3",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
23,5,PLASTIC,WEEKDAY,SAT,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
24,5,CAN_BOTTLE,WEEKDAY,WED,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
25,5,PAPER,WEEKDAY,WED,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
26,6,BURNABLE,WEEKDAY,"MON,THU",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
